,url
0,https://doi.org/10.1093/cercor/bhab474
1,https://doi.org/10.1016/j.cmpb.2021.106613
2,https://doi.org/10.1016/j.ijmedinf.2021.104669
3,https://doi.org/10.1088/1361-6560/ac4348
4,https://doi.org/10.1109/TMI.2021.3139999
5,https://doi.org/10.1109/TUFFC.2021.3119251
6,https://doi.org/10.1016/j.radonc.2021.12.033
7,https://doi.org/10.1109/TUFFC.2021.3109117
8,https://doi.org/10.1016/j.apmr.2021.12.006
9,https://doi.org/10.1016/j.cmpb.2021.106612
10,https://doi.org/10.1016/j.gie.2021.12.020
11,https://doi.org/10.1016/j.gie.2021.12.019
12,https://doi.org/10.1002/jmri.28047
13,https://doi.org/10.1097/JU.0000000000002390
14,https://doi.org/10.1080/17538157.2021.2019038
15,https://doi.org/10.1109/TMI.2021.3110829
16,https://doi.org/10.1109/TMI.2021.3104460
17,https://doi.org/10.1016/j.ijmedinf.2021.104678
18,https://doi.org/10.1016/j.compbiomed.2021.105161
19,https://doi.org/10.1016/j.compbiomed.2021.105185
20,https://doi.org/10.1177/02841851211068149
21,https://doi.org/10.1016/j.neuroscience.2021.12.031
22,https://doi.org/10.1016/j.cmpb.2021.106604
23,https://doi.org/10.1016/j.compbiomed.2021.105180
24,https://doi.org/10.1016/j.jvoice.2021.11.021
25,https://doi.org/10.1016/j.cmpb.2021.106611
26,https://doi.org/10.1088/1361-6579/ac41b8
27,https://doi.org/10.1088/1361-6579/ac3e88
28,https://doi.org/10.1080/00207454.2021.2018428
29,https://doi.org/10.1002/pds.5391
30,https://doi.org/10.1002/jum.15935
31,https://doi.org/10.1016/j.ajp.2021.102974
32,https://doi.org/10.1002/path.5831
33,https://doi.org/10.1002/nbm.4665
34,https://doi.org/10.1109/JBHI.2021.3138852
35,https://doi.org/10.1016/j.ijmedinf.2021.104675
36,https://doi.org/10.1016/j.compbiomed.2021.105160
37,https://doi.org/10.1002/cpt.2511
38,https://doi.org/10.1088/1361-6579/ac3d77
39,https://doi.org/10.1109/TBME.2021.3139007
40,https://doi.org/10.1016/j.accpm.2021.101015
41,https://doi.org/10.1016/j.compbiomed.2021.105175
42,https://doi.org/10.1016/j.radonc.2021.12.031
43,https://doi.org/10.1016/j.cmpb.2021.106602
44,https://doi.org/10.1016/j.jad.2021.12.048
45,https://doi.org/10.1002/hed.26970
46,https://doi.org/10.1016/j.neunet.2021.12.010
47,https://doi.org/10.1002/jbmr.4494
48,https://doi.org/10.1016/j.cmpb.2021.106603
49,https://doi.org/10.1080/1354750X.2021.2016971
50,https://doi.org/10.1016/j.compbiomed.2021.105173
51,https://doi.org/10.1016/j.cmpb.2021.106598
52,https://doi.org/10.1088/1741-2552/ac40a0
53,https://doi.org/10.1016/j.media.2021.102339
54,https://doi.org/10.1016/j.bios.2021.113916
55,https://doi.org/10.1161/CIRCHEARTFAILURE.121.008711
56,https://doi.org/10.1111/his.14613
57,https://doi.org/10.1016/j.ejmp.2021.12.009
58,https://doi.org/10.1109/TBME.2021.3096462
59,https://doi.org/10.1109/TBME.2021.3087612
60,https://doi.org/10.1016/j.cmpb.2021.106599
61,https://doi.org/10.1109/JBHI.2021.3137413
62,https://doi.org/10.1016/j.media.2021.102340
63,https://doi.org/10.1016/j.compbiomed.2021.105117
64,https://doi.org/10.1183/13993003.01652-2021
65,https://doi.org/10.1016/j.surg.2021.11.016
66,https://doi.org/10.1002/mp.15399
67,https://doi.org/10.1109/TBME.2021.3095848
68,https://doi.org/10.1111/cod.14011
69,https://doi.org/10.1093/ejcts/ezab541
70,https://doi.org/10.1016/j.cmpb.2021.106597
71,https://doi.org/10.1109/TBME.2021.3096137
72,https://doi.org/10.1016/j.ijmedinf.2021.104670
73,https://doi.org/10.1093/neuonc/noab294
74,https://doi.org/10.1111/pcn.13322
75,https://doi.org/10.1002/nbm.4661
76,https://doi.org/10.1136/jnnp-2021-327211
77,https://doi.org/10.1016/j.jad.2021.12.070
78,https://doi.org/10.1016/j.cmpb.2021.106601
79,https://doi.org/10.1016/j.avsg.2021.12.008
80,https://doi.org/10.1002/mp.15408
81,https://doi.org/10.1016/j.cmpb.2021.106600
82,https://doi.org/10.1109/TCYB.2020.2969520
