,url,link,download
0,https://doi.org/10.1002/dad2.12264,https://doi.org/10.1002/dad2.12264,1
1,https://doi.org/10.1088/1361-6560/ac4316,https://doi.org/10.1088/1361-6560/ac4316,1
2,https://doi.org/10.1002/trc2.12229,https://doi.org/10.1002/trc2.12229,1
3,https://doi.org/10.1177/03009858211067478,https://doi.org/10.1177/03009858211067478,1
4,https://doi.org/10.1002/emp2.12595,https://doi.org/10.1002/emp2.12595,1
5,https://doi.org/10.1109/TMI.2021.3139023,https://doi.org/10.1109/TMI.2021.3139023,1
6,https://doi.org/10.1111/ejn.15537,https://doi.org/10.1111/ejn.15537,1
7,https://doi.org/10.1002/cnm.3559,https://doi.org/10.1002/cnm.3559,1
8,https://doi.org/10.2478/joeb-2021-0018,https://doi.org/10.2478/joeb-2021-0018,1
9,https://doi.org/10.3389/fmed.2021.793230,https://doi.org/10.3389/fmed.2021.793230,1
10,https://doi.org/10.3934/mbe.2022093,https://doi.org/10.3934/mbe.2022093,
11,https://doi.org/10.1002/clc.23762,https://doi.org/10.1002/clc.23762,
12,https://doi.org/10.1111/cns.13773,https://doi.org/10.1111/cns.13773,
13,https://doi.org/10.1126/sciadv.abh2724,https://doi.org/10.1126/sciadv.abh2724,
14,https://doi.org/10.1002/acm2.13506,https://doi.org/10.1002/acm2.13506,
15,https://doi.org/10.1126/sciadv.abl4146,https://doi.org/10.1126/sciadv.abl4146,
16,https://doi.org/10.1097/JCN.0000000000000871,https://doi.org/10.1097/JCN.0000000000000871,
17,https://doi.org/10.1364/BOE.446214,https://doi.org/10.1364/BOE.446214,
18,https://doi.org/10.1111/jocn.16182,https://doi.org/10.1111/jocn.16182,
19,https://doi.org/10.3934/mbe.2022090,https://doi.org/10.3934/mbe.2022090,
20,https://doi.org/10.1002/path.5858,https://doi.org/10.1002/path.5858,
21,https://doi.org/10.1155/2021/1302989,https://doi.org/10.1155/2021/1302989,
22,https://doi.org/10.7717/peerj.12572,https://doi.org/10.7717/peerj.12572,
23,https://doi.org/10.1117/1.JMI.8.6.067501,https://doi.org/10.1117/1.JMI.8.6.067501,
24,https://doi.org/10.1097/APO.0000000000000466,https://doi.org/10.1097/APO.0000000000000466,
25,https://doi.org/10.1007/s11548-021-02539-2,https://doi.org/10.1007/s11548-021-02539-2,
26,https://doi.org/10.18240/ijo.2021.12.13,https://doi.org/10.18240/ijo.2021.12.13,
27,https://doi.org/10.1155/2021/4272411,https://doi.org/10.1155/2021/4272411,
28,https://doi.org/10.18240/ijo.2021.12.20,https://doi.org/10.18240/ijo.2021.12.20,
29,https://doi.org/10.1002/jmri.27978,https://doi.org/10.1002/jmri.27978,
30,https://doi.org/10.5435/JAAOS-D-21-00241,https://doi.org/10.5435/JAAOS-D-21-00241,
31,https://doi.org/10.1016/j.jvir.2021.12.017,https://doi.org/10.1016/j.jvir.2021.12.017,
32,https://doi.org/10.1002/hbm.25748,https://doi.org/10.1002/hbm.25748,
33,https://doi.org/10.7717/peerj-cs.751,https://doi.org/10.7717/peerj-cs.751,
34,https://doi.org/10.3934/mbe.2022081,https://doi.org/10.3934/mbe.2022081,
35,https://doi.org/10.3934/mbe.2022080,https://doi.org/10.3934/mbe.2022080,
36,https://doi.org/10.1177/0272989X211064604,https://doi.org/10.1177/0272989X211064604,
